#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-06-23T10:41:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ558937a53bf5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/577/A128&tab:{J/A+A/577/A128/tablea2}&key:source=J/A+A/577/A128/tablea2&HTTPPRM:&
#-source=J/A+A/577/A128/tablea2
#-order=I
#-out=Karmn
#-out=PC1
#-out=TiO2
#-out=TiO5
#-out=VO-7912
#-out=Color-M
#-out=CaH2
#-out=CaH3
#-out=zeta
#-out=pEW(Ha)
#-out=e_pEW(Ha)
#-out=E_pEW(Ha)
#

#RESOURCE=yCat_35770128
#Name: J/A+A/577/A128
#Title: CARMENES input catalogue of M dwarfs. I (Alonso-Floriano+, 2015)
#Table	J_A_A_577_A128_tablea2:
#Name: J/A+A/577/A128/tablea2
#Title: Spectral indices, zeta index and pEW(Halpha)
#Column	Karmn	(a13)	Our CARMENES star identification \linkRole{basic star data }	[ucd=meta.id;meta.main]
#Column	PC1	(F6.3)	PC1 spectral index (Martin et al. 1996ApJ...469..706M)	[ucd=spect.index]
#Column	TiO2	(F6.3)	TiO2 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	TiO5	(F6.3)	TiO5 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	VO-7912	(F6.3)	VO-7912 spectral index (Martin et al. 1999AJ....118.2466M)	[ucd=spect.index]
#Column	Color-M	(F6.3)	Color-M spectral index (Lepine et al. 2003, Cat. J/AJ/125/1598)	[ucd=spect.index]
#Column	CaH2	(F6.3)	CaH2 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	CaH3	(F6.3)	CaH3 spectral index (Reid et al. 1995AJ....110.1838R, Cat. III/198)	[ucd=spect.index]
#Column	zeta	(F6.3)	zeta metallicity spectral index (Lepine et al. 2007ApJ...669.1235L)	[ucd=spect.index]
#Column	pEW(Ha)	(F5.1)	Pseudo-equivalent width of Halpha line	[ucd=spect.line.eqWidth]
#Column	e_pEW(Ha)	(F4.1)	Error in pEW(Ha) (lower value)	[ucd=stat.error]
#Column	E_pEW(Ha)	(F4.1)	Error in pEW(Ha) (upper value)	[ucd=stat.error;stat.max]
Karmn|PC1|TiO2|TiO5|VO-7912|Color-M|CaH2|CaH3|zeta|pEW(Ha)|e_pEW(Ha)|E_pEW(Ha)
J04559+046   | 1.057| 0.736| 0.570| 1.028| 0.996| 0.603| 0.788| 0.958| -3.3| 0.2| 0.3
J04560+432   | 1.228| 0.597| 0.386| 1.104| 1.479| 0.462| 0.718| 1.001| -0.5| 0.4| 0.2
J05003+251AB | 1.006| 0.800| 0.644| 0.999| 0.883| 0.677| 0.847| 1.025|  0.0| 0.3| 0.3
J05019+011   | 1.261| 0.547| 0.370| 1.125| 1.423| 0.454| 0.716| 1.014| -8.2| 0.3| 0.5
J05030+213AB | 1.406| 0.475| 0.323| 1.172| 2.130| 0.386| 0.649| 0.944| -5.3| 0.5| 0.7
J05032+213   | 1.025| 0.743| 0.561| 1.022| 0.901| 0.610| 0.799| 1.008|  0.0| 0.2| 0.2
J05050+442   | 1.410| 0.502| 0.293| 1.166| 2.133| 0.388| 0.681| 1.019| -1.0| 0.2| 0.4
J05062+046   | 1.267| 0.529| 0.353| 1.141| 1.453| 0.437| 0.696| 0.997|-10.0| 0.2| 0.6
J05068+516   | 0.853| 0.963| 0.920| 0.968| 0.598| 1.051| 0.994| 0.969|  0.6| 0.2| 0.1
J05072+375   | 1.319| 0.442| 0.296| 1.174| 1.957| 0.360| 0.606| 0.927| -9.0| 0.5| 0.6
J05083+756   | 1.312| 0.531| 0.336| 1.130| 1.810| 0.421| 0.694| 1.003| -0.7| 0.3| 0.4
J05151-073   | 0.990| 0.821| 0.667| 1.000| 0.880| 0.687| 0.844| 0.975|  0.0| 0.3| 0.3
J05152+236   | 1.361| 0.447| 0.309| 1.179| 1.969| 0.390| 0.647| 0.966| -8.4| 0.8| 0.9
J05173+321   | 1.173| 0.639| 0.437| 1.073| 1.317| 0.507| 0.764| 1.033| -1.2| 0.5| 0.5
J05175+487   | 0.932| 0.910| 0.804| 0.983| 0.752| 0.834| 0.915| 1.011|  0.0| 0.4| 0.4
J05187+464   | 1.309| 0.469| 0.329| 1.153| 1.711| 0.403| 0.648| 0.950|-11.6| 0.8| 0.8
J05187-213   | 1.169| 0.607| 0.421| 1.082| 1.268| 0.480| 0.716| 0.962| -3.4| 0.7| 0.5
J05195+649   | 1.163| 0.593| 0.388| 1.100| 1.266| 0.465| 0.710| 0.991| -2.0| 0.3| 0.2
J05200-229   | 1.047| 0.706| 0.524| 1.026| 0.935| 0.566| 0.766| 0.960|  0.0| 0.3| 0.3
J05223+305   | 1.165| 0.648| 0.441| 1.059| 1.243| 0.516| 0.759| 1.034|  0.0| 0.3| 0.3
J05256-091AB | 1.162| 0.596| 0.420| 1.071| 1.185| 0.464| 0.701| 0.928| -7.3| 0.3| 0.4
J05289+125   | 1.224| 0.604| 0.394| 1.097| 1.469| 0.448| 0.699| 0.948| -1.8| 0.3| 0.6
J05294+155E  | 0.891| 0.845| 0.701| 0.984| 0.652| 0.764| 0.882| 1.152|  0.0| 0.4| 0.4
J05295-113   | 1.187| 0.618| 0.411| 1.090| 1.363| 0.493| 0.755| 1.048|  0.0| 0.2| 0.2
J05300+121W  | 0.862| 0.951| 0.901| 0.971| 0.611| 1.012| 0.973| 1.058|  0.6| 0.3| 0.2
J05300+121E  | 0.934| 0.861| 0.738| 0.990| 0.762| 0.787| 0.884| 1.081|  0.0| 0.4| 0.4
V* HD 36395 (HD 36395) | J05314-036   | 1.040| 0.784| 0.618| 1.018| 0.989| 0.655| 0.834| 1.023|  0.0| 0.3| 0.3
J05320-030AB | 1.040| 0.729| 0.569| 1.040| 0.918| 0.632| 0.803| 1.039| -4.0| 0.4| 0.3
J05324-072   | 0.916| 0.852| 0.725| 0.983| 0.680| 0.763| 0.874| 1.040|  0.0| 0.2| 0.2
J05328+338   | 1.144| 0.642| 0.431| 1.067| 1.320| 0.467| 0.703| 0.916|  0.0| 0.2| 0.2
J05342+103S  | 1.382| 0.587| 0.383| 1.116| 1.870| 0.456| 0.722| 1.003|  0.0| 0.2| 0.2
J05342+103N  | 1.145| 0.647| 0.446| 1.056| 1.139| 0.531| 0.771| 1.065|  0.0| 0.2| 0.2
J05394+747   | 1.171| 0.643| 0.436| 1.072| 1.316| 0.496| 0.740| 0.988|  0.0| 0.2| 0.2
J05415+534   | 0.995| 0.825| 0.677| 0.998| 0.867| 0.697| 0.846| 0.972|  0.0| 0.2| 0.2
V* V1352 Ori (Gl 213) | J05421+124   | 1.241| 0.576| 0.366| 1.113| 1.568| 0.457| 0.726| 1.035| -0.5| 0.3| 0.5
J05424+506   | 1.143| 0.646| 0.434| 1.070| 1.258| 0.501| 0.748| 1.008| -0.3| 0.2| 0.3
J05425+154   | 1.158| 0.596| 0.419| 1.093| 1.306| 0.468| 0.703| 0.935| -4.5| 0.2| 0.5
J05427+026   | 1.161| 0.647| 0.440| 1.067| 1.259| 0.520| 0.775| 1.065| -0.3| 0.2| 0.1
J05455-119   | 1.319| 0.553| 0.358| 1.129| 1.769| 0.458| 0.742| 1.072| -0.6| 0.5| 0.3
J05456+729   | 1.132| 0.675| 0.476| 1.057| 1.228| 0.527| 0.763| 0.991|  0.0| 0.2| 0.2
J05456+111   | 0.895| 0.886| 0.788| 0.980| 0.678| 0.850| 0.910| 1.128|  0.4| 0.2| 0.1
J05457-223   | 1.178| 0.640| 0.397| 1.064| 1.285| 0.450| 0.705| 0.953|  0.0| 0.4| 0.4
J05458+729   | 1.092| 0.685| 0.486| 1.044| 1.011| 0.549| 0.776| 1.026|  0.0| 0.3| 0.3
J05463+012   | 1.123| 0.701| 0.504| 1.043| 1.132| 0.558| 0.781| 1.011|  0.0| 0.3| 0.3
J05501+051   | 1.015| 0.781| 0.646| 1.022| 0.896| 0.692| 0.833| 1.023| -3.4| 0.1| 0.4
J05511+122   | 1.251| 0.600| 0.391| 1.098| 1.552| 0.472| 0.737| 1.030| -0.6| 0.2| 0.3
J05566-103   | 1.194| 0.589| 0.411| 1.091| 1.390| 0.451| 0.685| 0.910| -3.4| 0.4| 0.6
J05582-046   | 1.351| 0.495| 0.271| 1.143| 1.890| 0.387| 0.680| 1.048| -0.8| 0.2| 0.4
J05588+213   | 1.380| 0.456| 0.284| 1.167| 2.246| 0.393| 0.685| 1.040| -1.5| 0.4| 0.5
J05596+585   | 0.953| 0.805| 0.642| 0.997| 0.772| 0.691| 0.836| 1.041|  0.0| 0.3| 0.3
J06024+663   | 1.349| 0.529| 0.332| 1.143| 1.872| 0.443| 0.723| 1.071| -0.7| 0.3| 0.3
J06024+498   | 1.397| 0.473| 0.280| 1.165| 2.206| 0.374| 0.665| 1.007| -0.6| 0.3| 0.2
J06035+168   | 1.229| 0.547| 0.381| 1.109| 1.518| 0.421| 0.650| 0.893| -5.0| 0.2| 0.3
J06035+155   | 0.944| 0.885| 0.805| 0.992| 0.758| 0.862| 0.905| 1.064|  0.0| 0.6| 0.6
J06054+608   | 1.301| 0.488| 0.355| 1.158| 1.769| 0.457| 0.710| 1.033| -9.3| 0.4| 0.6
J06065+045   | 1.151| 0.642| 0.415| 1.066| 1.186| 0.499| 0.757| 1.054|  0.0| 0.2| 0.2
J06066+465   | 1.153| 0.658| 0.464| 1.062| 1.286| 0.518| 0.763| 0.998| -0.5| 0.2| 0.1
J06075+472   | 1.314| 0.492| 0.341| 1.150| 1.799| 0.415| 0.666| 0.961| -9.2| 0.9| 0.8
J06102+225   | 1.277| 0.512| 0.372| 1.126| 1.421| 0.451| 0.672| 0.958| -7.9| 0.4| 0.6
J06103+722   | 1.086| 0.674| 0.467| 1.054| 1.076| 0.552| 0.795| 1.103|  0.0| 0.4| 0.4
J06145+025   | 1.143| 0.626| 0.428| 1.071| 1.172| 0.515| 0.760| 1.058|  0.0| 0.4| 0.4
J06151-164   | 1.267| 0.583| 0.384| 1.100| 1.609| 0.462| 0.698| 0.979|  0.0| 0.3| 0.3
J06171+051AB | 1.188| 0.643| 0.419| 1.082| 1.395| 0.479| 0.737| 0.990|  0.0| 0.4| 0.4
J06185+250   | 1.244| 0.576| 0.387| 1.110| 1.505| 0.486| 0.757| 1.084|  0.0| 0.4| 0.4
J06236-096AB | 1.160| 0.624| 0.437| 1.075| 1.302| 0.477| 0.710| 0.924| -2.2| 0.5| 0.5
J06238+456   | 1.397| 0.459| 0.298| 1.170| 2.084| 0.382| 0.655| 0.981| -6.1| 0.6| 0.9
J06246+234   | 1.214| 0.559| 0.342| 1.103| 1.489| 0.412| 0.669| 0.959|  0.0| 0.4| 0.4
J06298-027AB | 1.250| 0.502| 0.352| 1.123| 1.487| 0.457| 0.724| 1.056| -5.7| 0.5| 0.5
J06307+397   | 1.055| 0.742| 0.556| 1.027| 1.041| 0.573| 0.782| 0.928|  0.0| 0.2| 0.2
J06313+006   | 1.022| 0.806| 0.631| 1.014| 0.931| 0.657| 0.838| 1.000|  0.0| 0.2| 0.2
J06314-016   | 0.986| 0.760| 0.561| 1.017| 0.812| 0.635| 0.844| 1.152|  0.0| 0.2| 0.2
J06323-097   | 1.290| 0.543| 0.349| 1.127| 1.743| 0.437| 0.704| 1.012| -0.9| 0.1| 0.3
J06325+641   | 1.259| 0.572| 0.377| 1.117| 1.573| 0.479| 0.759| 1.094| -0.5| 0.1| 0.2
J06332+054   | 1.070| 0.734| 0.551| 1.030| 1.037| 0.608| 0.815| 1.058|  0.0| 0.3| 0.3
J06354-040AB | 1.467| 0.418| 0.283| 1.183| 2.351| 0.364| 0.647| 0.980| -7.1| 0.5| 0.7
J06361+201   | 1.084| 0.693| 0.492| 1.044| 1.102| 0.539| 0.769| 0.987|  0.0| 0.4| 0.4
J06367+378   | 1.219| 0.568| 0.396| 1.110| 1.336| 0.475| 0.718| 1.000| -6.8| 0.3| 0.4
J06401-164   | 1.070| 0.663| 0.458| 1.045| 1.019| 0.527| 0.757| 1.015|  0.0| 0.4| 0.4
J06435+166   | 1.288| 0.538| 0.340| 1.130| 1.730| 0.445| 0.723| 1.060| -0.7| 0.4| 0.2
J06461+325   | 0.998| 0.833| 0.686| 0.997| 0.893| 0.692| 0.842| 0.925|  0.0| 0.3| 0.3
J06474+054   | 1.266| 0.587| 0.382| 1.109| 1.567| 0.486| 0.758| 1.094| -0.3| 0.2| 0.1
J06489+211   | 1.086| 0.689| 0.525| 1.051| 1.097| 0.561| 0.765| 0.949| -1.9| 0.3| 0.1
J06509-091   | 1.187| 0.632| 0.429| 1.068| 1.330| 0.498| 0.748| 1.013| -0.3| 0.3| 0.1
J06522+627   | 1.205| 0.604| 0.426| 1.087| 1.436| 0.467| 0.703| 0.924| -2.4| 0.3| 0.5
J06522+179   | 0.937| 0.916| 0.833| 0.978| 0.761| 0.862| 0.922| 0.958|  0.4| 0.2| 0.1
J06523-051SAB| 1.065| 0.744| 0.554| 1.032| 1.054| 0.583| 0.791| 0.964|  0.0| 0.3| 0.3
J06523-051N  | 0.840| 0.972| 0.925| 0.969| 0.553| 1.079| 1.005| 0.953|  0.8| 0.4| 0.1
J06548+332   | 1.156| 0.662| 0.458| 1.061| 1.277| 0.514| 0.753| 0.990|  0.0| 0.3| 0.3
J06565+440   | 1.299| 0.559| 0.357| 1.128| 1.740| 0.462| 0.744| 1.082| -0.5| 0.5| 0.2
J07001-190   | 1.388| 0.476| 0.327| 1.170| 1.941| 0.435| 0.713| 1.054| -8.6| 0.5| 0.7
J07009-023   | 1.136| 0.671| 0.482| 1.058| 1.218| 0.535| 0.769| 0.999|  0.0| 0.3| 0.3
J07031+836   | 1.170| 0.621| 0.417| 1.066| 1.273| 0.468| 0.711| 0.948|  0.0| 0.3| 0.3
J07051-101   | 1.330| 0.476| 0.323| 1.150| 1.908| 0.389| 0.648| 0.946| -6.0| 0.7| 0.4
J07105-087   | 1.203| 0.613| 0.423| 1.088| 1.421| 0.480| 0.727| 0.972| -1.7| 0.5| 0.5
J07105+283   | 0.930| 0.885| 0.780| 0.984| 0.760| 0.822| 0.896| 1.033|  0.4| 0.2| 0.1
J07111-035   | 0.979| 0.871| 0.748| 0.992| 0.848| 0.762| 0.879| 0.960|  0.0| 0.3| 0.3
J07111+434AB | 1.577| 0.350| 0.181| 1.229| 2.971| 0.289| 0.597| 1.019| -1.4| 0.5| 0.4
J07172-050   | 1.158| 0.563| 0.383| 1.093| 1.255| 0.436| 0.674| 0.927| -3.5| 0.5| 0.5
J07182+137   | 1.211| 0.608| 0.421| 1.088| 1.439| 0.499| 0.755| 1.038|  0.0| 0.4| 0.4
J07191+667   | 0.931| 0.883| 0.795| 0.983| 0.748| 0.848| 0.908| 1.080|  0.4| 0.2| 0.1
J07195+328   | 0.932| 0.873| 0.773| 0.980| 0.749| 0.813| 0.900| 1.051|  0.0| 0.4| 0.4
J07219-222   | 1.220| 0.620| 0.408| 1.085| 1.412| 0.491| 0.747| 1.037| -0.5| 0.2| 0.2
V* Luyten's star (Gl 273) | J07274+052   | 1.176| 0.612| 0.408| 1.091| 1.393| 0.481| 0.740| 1.015| -0.5| 0.2| 0.2
J07310+460   | 1.249| 0.520| 0.365| 1.126| 1.559| 0.431| 0.669| 0.943| -9.5| 0.5| 0.6
J07319+362N  | 1.217| 0.595| 0.404| 1.102| 1.438| 0.471| 0.719| 0.982| -2.4| 0.2| 0.3
J07319+362SAB| 1.103| 0.672| 0.487| 1.057| 1.109| 0.551| 0.773| 1.020| -2.0| 0.2| 2.0
J07321-088   | 0.845| 0.979| 0.926| 0.956| 0.543| 1.050| 1.000| 0.911|  0.6| 0.2| 0.2
J07324-130   | 0.900| 0.880| 0.759| 0.980| 0.686| 0.812| 0.892| 1.090|  0.0| 0.4| 0.4
J07359+785   | 1.151| 0.635| 0.430| 1.069| 1.253| 0.511| 0.763| 1.052|  0.0| 0.5| 0.5
J07361-031   | 0.979| 0.833| 0.704| 1.004| 0.875| 0.724| 0.851| 0.960| -1.0| 0.2| 0.3
J07365-006   | 1.192| 0.638| 0.436| 1.079| 1.376| 0.490| 0.731| 0.967| -1.5| 0.3| 0.4
J07366+440   | 1.175| 0.654| 0.453| 1.071| 1.315| 0.525| 0.766| 1.035|  0.0| 0.4| 0.4
J07420+142   | 1.176| 0.922| 0.649| 1.049| 1.240| 0.966| 1.249| 3.966|  0.8| 0.4| 0.2
J07429-107   | 1.104| 0.677| 0.493| 1.061| 1.150| 0.547| 0.766| 0.993| -2.0| 0.2| 0.4
J07467+574   | 1.323| 0.496| 0.337| 1.159| 1.921| 0.407| 0.684| 0.976| -6.1| 0.6| 0.8
J07470+760   | 1.219| 0.598| 0.397| 1.096| 1.479| 0.467| 0.728| 1.001|  0.0| 0.3| 0.3
J07497-033   | 1.170| 0.605| 0.404| 1.078| 1.275| 0.459| 0.708| 0.956| -1.4| 0.4| 0.4
J07498-032   | 1.153| 0.553| 0.387| 1.094| 1.192| 0.447| 0.677| 0.936| -7.5| 0.6| 0.4
J07523+162   | 1.605| 0.359| 0.260| 1.247| 2.785| 0.360| 0.694| 1.050|-25.4| 1.0| 1.4
J07545-096   | 1.176| 0.642| 0.448| 1.069| 1.290| 0.501| 0.734| 0.965| -0.8| 0.5| 0.2
J07545+085   | 1.103| 0.699| 0.502| 1.044| 1.166| 0.532| 0.755| 0.938|  0.0| 0.3| 0.3
J07558+833   | 1.451| 0.572| 0.404| 1.129| 2.212| 0.409| 0.661| 0.860| -5.2| 0.2| 0.6
J07591+173   | 1.205| 0.550| 0.388| 1.101| 1.262| 0.449| 0.671| 0.930| -9.2| 0.5| 0.8
J08025-130   | 1.122| 0.676| 0.489| 1.057| 1.176| 0.535| 0.762| 0.976|  0.0| 0.4| 0.4
J08031+203AB | 1.165| 0.586| 0.425| 1.089| 1.232| 0.467| 0.687| 0.907| -7.2| 0.3| 0.5
J08069+422   | 1.284| 0.550| 0.367| 1.124| 1.658| 0.439| 0.699| 0.981| -2.5| 0.4| 0.3
J08082+211N  | 0.901| 0.924| 0.852| 0.975| 0.700| 0.908| 0.937| 1.025|  0.5| 0.2| 0.1
J08082+211SAB| 1.128| 0.658| 0.481| 1.060| 1.159| 0.518| 0.738| 0.934| -3.7| 0.5| 0.4
J08104-111   | 0.956| 0.741| 0.539| 1.013| 0.743| 0.613| 0.810| 1.087|  0.0| 0.3| 0.3
J08105-138AB | 1.093| 0.722| 0.532| 1.033| 1.108| 0.570| 0.784| 0.977|  0.0| 0.3| 0.3
J08117+531   | 1.109| 0.646| 0.446| 1.060| 1.137| 0.535| 0.788| 1.101|  0.0| 0.3| 0.3
J08143+630   | 1.024| 0.784| 0.618| 1.007| 0.890| 0.647| 0.828| 0.995|  0.0| 0.3| 0.3
J08161+013   | 1.056| 0.752| 0.561| 1.025| 1.023| 0.598| 0.804| 0.997|  0.0| 0.3| 0.3
J08283+553   | 1.131| 0.684| 0.480| 1.051| 1.151| 0.537| 0.767| 1.002|  0.0| 0.3| 0.3
J08286+660   | 1.228| 0.557| 0.386| 1.113| 1.414| 0.438| 0.682| 0.934| -7.7| 0.3| 0.3
V* DX Cnc (GJ 1111) | J08298+267   | 1.680| 0.299| 0.196| 1.298| 4.578| 0.270| 0.568| 0.974| -5.2| 1.1| 0.9
J08353+141   | 1.277| 0.522| 0.341| 1.133| 1.608| 0.440| 0.715| 1.041| -3.5| 0.5| 0.5
J08375+035   | 1.258| 0.565| 0.367| 1.114| 1.674| 0.445| 0.719| 1.012|  0.0| 0.6| 0.6
J08386-028   | 0.815| 0.952| 0.930| 0.961| 0.506| 1.054| 0.999| 0.858|  0.4| 0.1| 0.1
J08394-028   | 0.954| 0.817| 0.642| 0.999| 0.771| 0.705| 0.873| 1.167|  0.0| 0.3| 0.3
J08423-048   | 1.132| 0.678| 0.476| 1.058| 1.234| 0.532| 0.773| 1.012|  0.0| 0.4| 0.4
J08449-066AB | 1.164| 0.631| 0.421| 1.075| 1.331| 0.466| 0.699| 0.926|  0.0| 0.3| 0.3
J08526+283   | 1.329| 0.543| 0.357| 1.124| 1.806| 0.456| 0.737| 1.065| -0.7| 0.3| 0.2
J08531-202   | 1.135| 0.654| 0.457| 1.065| 1.213| 0.512| 0.752| 0.987|  0.0| 0.4| 0.4
J08563-044   | 0.996| 0.824| 0.680| 1.001| 0.896| 0.694| 0.847| 0.959|  0.0| 0.4| 0.4
J08572+194   | 1.183| 0.636| 0.425| 1.073| 1.294| 0.500| 0.746| 1.020|  0.0| 0.4| 0.4
J08590+364   | 0.957| 0.846| 0.696| 0.992| 0.807| 0.769| 0.897| 1.238|  0.0| 0.4| 0.4
J08595+537   | 1.195| 0.586| 0.412| 1.092| 1.368| 0.444| 0.669| 0.886| -5.0| 0.2| 0.4
J08599+042   | 0.996| 0.840| 0.689| 0.997| 0.884| 0.713| 0.860| 1.002|  0.0| 0.4| 0.4
J09003+218   | 1.737| 0.307| 0.201| 1.269| 4.123| 0.293| 0.598| 0.998|-10.0| 0.8| 0.8
J09008+237   | 1.123| 0.668| 0.456| 1.061| 1.137| 0.522| 0.760| 1.016|  0.0| 0.3| 0.3
J09023+177   | 1.210| 0.588| 0.393| 1.092| 1.458| 0.470| 0.736| 1.021|  0.0| 0.6| 0.6
J09028+060   | 1.031| 0.780| 0.613| 1.005| 0.952| 0.646| 0.827| 1.004|  0.0| 0.3| 0.3
J09040-159   | 1.077| 0.709| 0.536| 1.039| 1.052| 0.563| 0.768| 0.934| -2.9| 0.2| 0.2
J09045+164AB | 0.844| 0.970| 0.923| 0.972| 0.568| 1.076| 1.003| 0.974|  0.7| 0.2| 0.1
J09058+555   | 1.182| 0.624| 0.414| 1.078| 1.281| 0.473| 0.715| 0.963|  0.0| 0.4| 0.4
J09091+227   | 1.314| 0.527| 0.332| 1.139| 1.932| 0.416| 0.688| 0.997|  0.0| 1.0| 0.2
J09115+126   | 1.105| 0.696| 0.504| 1.050| 1.124| 0.566| 0.796| 1.050|  0.0| 0.2| 0.2
J09143+526   | 0.941| 0.902| 0.805| 0.981| 0.750| 0.839| 0.909| 1.001|  0.0| 0.3| 0.3
J09144+526   | 0.943| 0.896| 0.791| 0.978| 0.759| 0.822| 0.904| 1.003|  0.0| 0.3| 0.3
J09151+233   | 0.938| 0.879| 0.767| 0.979| 0.750| 0.803| 0.896| 1.040|  0.0| 0.3| 0.3
J09156-105AB | 1.369| 0.431| 0.280| 1.174| 1.981| 0.351| 0.609| 0.943| -3.9| 0.3| 0.5
J09201+037   | 1.196| 0.622| 0.427| 1.083| 1.407| 0.477| 0.723| 0.957| -1.4| 0.6| 0.5
J09206-169   | 0.922| 0.908| 0.811| 0.981| 0.735| 0.855| 0.917| 1.042|  0.0| 0.4| 0.4
J09212+603   | 1.029| 0.781| 0.612| 1.012| 0.911| 0.651| 0.832| 1.026|  0.0| 0.4| 0.4
J09218-023   | 1.051| 0.723| 0.531| 1.033| 1.065| 0.537| 0.751| 0.883|  0.0| 0.3| 0.3
J09243+063   | 1.222| 0.561| 0.375| 1.111| 1.366| 0.465| 0.727| 1.033| -6.1| 0.3| 0.4
J09248+306   | 1.162| 0.595| 0.435| 1.085| 1.316| 0.476| 0.696| 0.912| -7.2| 0.4| 0.5
J09256+634   | 1.272| 0.534| 0.347| 1.135| 1.715| 0.413| 0.670| 0.953| -5.1| 0.7| 0.4
J09301-009   | 0.947| 0.864| 0.732| 0.993| 0.789| 0.810| 0.910| 1.267|  0.4| 0.1| 0.1
J09308+024   | 1.230| 0.562| 0.384| 1.110| 1.572| 0.437| 0.684| 0.936| -3.5| 0.3| 0.3
J09328+269   | 1.479| 0.415| 0.257| 1.216| 2.454| 0.356| 0.660| 1.019| -7.2| 0.6| 0.6
J09351-103   | 0.804| 0.940| 0.870| 0.949| 0.467| 1.018| 0.971| 1.392|  0.6| 0.2| 0.1
J09362+375   | 0.940| 0.859| 0.744| 0.983| 0.738| 0.773| 0.878| 0.999| -0.9| 0.3| 0.2
J09394+146   | 1.151| 0.631| 0.442| 1.073| 1.310| 0.478| 0.705| 0.912| -1.8| 0.4| 0.6
J09449-123   | 1.416| 0.403| 0.274| 1.190| 1.839| 0.369| 0.632| 0.983|-13.3| 1.0| 1.0
J09488+156   | 1.094| 0.673| 0.479| 1.060| 1.197| 0.491| 0.712| 0.872| -2.9| 0.3| 0.4
J09526-156   | 1.146| 0.629| 0.418| 1.085| 1.246| 0.487| 0.728| 0.991|  0.0| 0.3| 0.3
J09538-073   | 0.966| 0.899| 0.754| 0.989| 0.748| 0.765| 0.868| 0.922| -1.3| 0.2| 0.2
J09589+059   | 1.320| 0.502| 0.332| 1.144| 1.773| 0.390| 0.641| 0.928| -4.5| 0.6| 0.7
J09597+721   | 1.185| 0.636| 0.431| 1.082| 1.374| 0.485| 0.734| 0.974|  0.0| 0.3| 0.3
J10008+319   | 1.613| 0.333| 0.221| 1.252| 3.106| 0.316| 0.622| 1.003|-14.4| 1.8| 1.2
J10020+697   | 1.263| 0.557| 0.356| 1.121| 1.671| 0.437| 0.698| 0.995| -0.8| 0.2| 0.2
J10028+484   | 1.448| 0.380| 0.264| 1.223| 2.463| 0.349| 0.611| 0.964|-12.0| 0.6| 0.6
J10063-064   | 1.415| 0.521| 0.312| 1.099| 1.704| 0.456| 0.724| 1.120|  0.0| 0.4| 0.4
J10068-127   | 1.285| 0.487| 0.327| 1.145| 1.763| 0.390| 0.630| 0.926| -4.4| 0.6| 0.5
J10098-007   | 0.862| 0.943| 0.889| 0.984| 0.604| 1.023| 0.973| 1.209|  0.6| 0.2| 0.1
V* LP 609-71 (Gl 381) | J10120-026AB | 1.087| 0.726| 0.532| 1.041| 1.140| 0.560| 0.777| 0.950|  0.0| 0.3| 0.3
J10130+233   | 1.197| 0.595| 0.398| 1.093| 1.405| 0.485| 0.755| 1.059|  0.0| 0.3| 0.3
J10148+213   | 1.276| 0.500| 0.329| 1.144| 1.696| 0.395| 0.643| 0.938| -5.9| 0.9| 0.5
J10155-164   | 1.226| 0.583| 0.391| 1.102| 1.400| 0.483| 0.745| 1.054| -3.5| 0.5| 0.3
J10196+198AB | 1.141| 0.638| 0.466| 1.066| 1.204| 0.506| 0.732| 0.937| -4.1| 0.4| 0.3
J10200+289   | 1.111| 0.678| 0.479| 1.056| 1.216| 0.514| 0.742| 0.938|  0.0| 0.4| 0.4
J10238+438   | 1.407| 0.435| 0.288| 1.185| 2.299| 0.396| 0.696| 1.050| -5.1| 0.5| 0.5
J10240+366   | 1.184| 0.623| 0.423| 1.095| 1.382| 0.487| 0.735| 0.991| -1.9| 0.3| 0.2
J10278+028   | 1.222| 0.607| 0.401| 1.089| 1.413| 0.494| 0.758| 1.072|  0.0| 0.6| 0.6
J10304+559   | 0.891| 0.942| 0.883| 0.971| 0.663| 0.931| 0.947| 0.902|  0.5| 0.2| 0.1
J10359+288   | 1.142| 0.640| 0.460| 1.080| 1.265| 0.506| 0.736| 0.952| -2.9| 0.4| 0.6
J10368+509   | 1.271| 0.510| 0.347| 1.138| 1.747| 0.413| 0.665| 0.948| -4.5| 0.3| 0.3
J10430-092AB | 1.471| 0.439| 0.259| 1.190| 2.546| 0.363| 0.677| 1.038| -1.7| 0.5| 0.4
J10443+124   | 1.217| 0.610| 0.407| 1.092| 1.417| 0.501| 0.763| 1.078|  0.0| 0.6| 0.6
J10482-113   | 1.787| 0.266| 0.149| 1.307| 4.604| 0.237| 0.534| 0.999| -3.7| 1.0| 0.6
