#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-06-23T10:41:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ558937d63ccc	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/577/A128&tab:{J/A+A/577/A128/tablea3}&key:source=J/A+A/577/A128/tablea3&HTTPPRM:&
#-source=J/A+A/577/A128/tablea3
#-order=I
#-out=Karmn
#-out=SpTl
#-out=r_SpTl
#-out=l_SpTb
#-out=SpTb
#-out=l_SpTc
#-out=SpTc
#-out=SpT2
#-out=SpT5
#-out=SpTP
#-out=SpTR
#-out=SpTC
#-out=l_SpT
#-out=SpT
#

#RESOURCE=yCat_35770128
#Name: J/A+A/577/A128
#Title: CARMENES input catalogue of M dwarfs. I (Alonso-Floriano+, 2015)
#Table	J_A_A_577_A128_tablea3:
#Name: J/A+A/577/A128/tablea3
#Title: Spectral type from literature and our work
#Column	Karmn	(a13)	Our CARMENES star identification \linkRole{basic star data }	[ucd=meta.id;meta.main]
#Column	SpTl	(a15)	Spectral type from bibliography	[ucd=src.spType]
#Column	r_SpTl	(a16)	Reference for SpT from bibliography, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	l_SpTb	(A2)	[<= ] Limit flag on SpTb	[ucd=meta.code.error]
#Column	SpTb	(F4.1)	? Spectral type from best-fit match	[ucd=src.spType]
#Column	l_SpTc	(A2)	[<=> ] Limit flag on SpTc	[ucd=meta.code.error]
#Column	SpTc	(F4.1)	? Spectral type from chi2 match	[ucd=src.spType]
#Column	SpT2	(F4.1)	? Spectral type from TiO2 index	[ucd=src.spType]
#Column	SpT5	(F4.1)	? Spectral type from TiO5 index	[ucd=src.spType]
#Column	SpTP	(F4.1)	? Spectral type from PC1 index	[ucd=src.spType]
#Column	SpTR	(F4.1)	? Spectral type from VO-7912 index	[ucd=src.spType]
#Column	SpTC	(F4.1)	? Spectral type from Color-M index	[ucd=src.spType]
#Column	l_SpT	(A1)	Limit flag on SpT	[ucd=meta.code.error]
#Column	SpT	(a7)	Adopted spectral type	[ucd=src.spType]
Karmn|SpTl|r_SpTl|l_SpTb|SpTb|l_SpTc|SpTc|SpT2|SpT5|SpTP|SpTR|SpTC|l_SpT|SpT
J05032+213   |M1.5V          |Reid04          |  | 1.5|  | 1.5| 2.0| 2.0| 1.5| 2.0| 1.5| |M1.5V
J05050+442   |               |                |  | 5.0|  | 5.0| 4.5| 5.0| 5.0| 5.0| 5.0| |M5.0V
J05062+046   |M4.0V          |Lep13           |  | 4.5|  | 4.0| 4.5| 4.0| 4.0| 4.5| 3.5| |M4.0V
J05068+516   |k:             |Kri93           |  |-2.0|  |-2.0|    |    |    |    |    | |K5V
J05072+375   |M5.0V          |Abe14           |  | 5.0|  | 5.0| 5.0| 5.0| 4.5| 5.0| 4.5| |M5.0V
J05083+756   |M5.0V          |Sch05           |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J05151-073   |M0.5V          |PMSU            |  | 1.0|  | 1.0| 1.0| 1.0| 1.0| 1.0| 1.0| |M1.0V
J05152+236   |M4.5V          |Abe14           |  | 5.0|  | 5.0| 5.0| 4.5| 5.0| 5.0| 4.5| |M5.0V
J05173+321   |M3.5V          |Reid04          |  | 3.5|  | 3.0| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J05175+487   |               |                |  | 0.0|  | 0.0|-0.5|-0.5| 0.0| 0.0| 0.0| |M0.0V
J05187+464   |               |                |  | 4.5|  | 4.5| 5.0| 4.5| 4.5| 5.0| 4.5| |M4.5V
J05187-213   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.0| |M3.5V
J05195+649   |M4.0V          |Lep13           |  | 3.5|  | 3.0| 3.5| 4.0| 3.5| 4.0| 3.0| |M3.5V
J05200-229   |               |                |  | 2.0|  | 2.0| 2.5| 2.5| 2.0| 2.0| 1.5| |M2.0V
J05223+305   |               |                |  | 3.5|  | 3.0| 3.0| 3.0| 3.5| 3.0| 3.0| |M3.0V
J05256-091AB |M3.5V+M5.0     |,Reid04, Shk09  |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.0| |M3.5V
J05289+125   |M4.0V          |PMSU            |  | 4.0|  | 4.0| 3.5| 3.5| 4.0| 4.0| 4.0| |M4.0V
J05294+155E  |M0.0V:         |PMSU            |  |-1.0|  |-1.0| 0.5| 0.5|-1.0| 0.0|-1.0| |M0.0:V
J05295-113   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 4.0| 3.5| |M3.5V
J05300+121W  |               |                |  |-2.0|  |-2.0|    |    |    |    |    | |K5V
J05300+121E  |               |                |  | 0.0|  | 0.5| 0.5| 0.5| 0.0| 0.5| 0.0| |M0.5V
J05314-036   |M1.5V          |PMSU            |  | 1.5|  | 1.5| 1.5| 1.5| 2.0| 1.5| 2.0| |M1.5V
J05320-030AB |M2.0V          |Riaz06          |  | 1.5|  | 1.5| 2.5| 2.0| 2.0| 2.5| 1.5| |M2.0V
J05324-072   |M0-1V          |Ste86           |  | 0.5|  | 0.5| 0.5| 0.5|-0.5| 0.0|-0.5| |M0.5V
J05328+338   |M3.5V          |Reid04          |  | 3.5|  | 3.5| 3.5| 3.5| 3.0| 3.0| 3.5| |M3.5V
J05342+103S  |M3.0V          |PMSU            |  | 4.5|  | 4.5| 4.0| 4.0| 5.0| 4.0| 4.5| |M4.5V
J05342+103N  |M3.5V          |PMSU            |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 2.5| |M3.0V
J05394+747   |               |                |  | 3.5|  | 3.5| 3.0| 3.5| 3.5| 3.5| 3.5| |M3.5V
J05415+534   |M0.5V          |PMSU            |  | 1.0|  | 1.0| 1.0| 1.0| 1.0| 1.0| 1.0| |M1.0V
J05421+124   |M4.0V          |PMSU            |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J05424+506   |m:             |Simbad          |  | 3.0|  | 3.0| 3.0| 3.5| 3.0| 3.5| 3.0| |M3.0V
J05425+154   |M5.0V          |LC08            |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 4.0| 3.5| |M3.5V
J05427+026   |m:             |Simbad          |  | 3.5|  | 3.0| 3.0| 3.0| 3.5| 3.0| 3.0| |M3.0V
J05455-119   |               |                |  | 4.5|  | 4.5| 4.0| 4.0| 4.5| 4.5| 4.5| |M4.5V
J05456+729   |               |                |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J05456+111   |               |                |  |-1.0|  |-1.0| 0.0| 0.0|-1.0| 0.0|-0.5| |M0.0V
J05457-223   |m6:            |Simbad          |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.0| 3.0| |M3.5V
J05458+729   |               |                |  | 2.5|  | 2.5| 3.0| 3.0| 2.5| 2.5| 2.0| |M2.5V
J05463+012   |M1V            |New14           |  | 2.5|  | 2.5| 2.5| 2.5| 3.0| 2.5| 2.5| |M2.5V
J05501+051   |               |                |  | 1.5|  | 1.0| 1.5| 1.0| 1.5| 2.0| 1.5| |M1.5V
J05511+122   |               |                |  | 4.0|  | 4.0| 3.5| 4.0| 4.0| 4.0| 4.0| |M4.0V
J05566-103   |M3.5V          |Riaz06          |  | 3.5|  | 3.5| 4.0| 3.5| 3.5| 4.0| 3.5| |M3.5V
J05582-046   |M5.0V          |RA12            |  | 4.5|  | 5.0| 4.5| 5.0| 5.0| 4.5| 4.5| |M4.5V
J05588+213   |M4.5V          |Reid04          |  | 5.0|  | 5.0| 5.0| 5.0| 5.0| 5.0| 5.0| |M5.0V
J05596+585   |M0.5V          |PMSU            |  | 0.0|  | 0.0| 1.0| 1.0| 0.5| 0.5| 0.5| |M0.5V
J06024+663   |M4.5V          |Giz97           |  | 4.5|  | 4.5| 4.5| 4.5| 5.0| 4.5| 4.5| |M4.5V
J06024+498   |M5.0V          |PMSU            |  | 5.0|  | 5.0| 5.0| 5.0| 5.0| 5.0| 5.0| |M5.0V
J06035+168   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J06035+155   |M0.0V          |Lep13           |  | 0.5|  | 0.0| 0.0|-0.5| 0.0| 0.5| 0.0| |M0.0V
J06054+608   |M4.5V          |Giz97           |  | 4.5|  | 4.5| 4.5| 4.0| 4.5| 5.0| 4.5| |M4.5V
J06065+045   |m:             |Simbad          |  | 3.0|  | 3.0| 3.5| 3.5| 3.0| 3.0| 3.0| |M3.0V
J06066+465   |               |                |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J06075+472   |M3.5V          |Reid07          |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 5.0| 4.5| |M4.5V
J06102+225   |               |                |  | 4.0|  | 4.0| 4.5| 4.0| 4.5| 4.5| 3.5| |M4.0V
J06103+722   |               |                |  | 2.5|  | 2.0| 3.0| 3.0| 2.5| 3.0| 2.5| |M2.5V
J06145+025   |M3.0V          |Sch05           |  | 2.5|  | 2.5| 3.5| 3.5| 3.0| 3.5| 3.0| |M3.0V
J06151-164   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J06171+051AB |M3.5V          |PMSU            |  | 3.5|  | 3.5| 3.0| 3.5| 3.5| 3.5| 3.5| |M3.5V
J06185+250   |M4.0V          |Reid04          |  | 4.0|  | 3.5| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J06236-096AB |M3.5V          |Reid04          |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J06238+456   |M5.0V          |Sch05           |  | 5.0|  | 5.0| 5.0| 5.0| 5.0| 5.0| 5.0| |M5.0V
J06246+234   |M4.5V          |PMSU            |  | 4.0|  | 4.0| 4.0| 4.5| 4.0| 4.0| 4.0| |M4.0V
J06298-027AB |M3.5V+M6.3     |,Reid04, Shk10  |  | 4.0|  | 4.0| 4.5| 4.0| 4.0| 4.5| 4.0| |M4.0V
J06307+397   |               |                |  | 2.0|  | 2.0| 2.0| 2.0| 2.0| 2.0| 2.0| |M2.0V
J06313+006   |               |                |  | 1.5|  | 1.5| 1.0| 1.5| 1.5| 1.5| 1.5| |M1.5V
J06314-016   |m:             |Simbad          |  | 1.5|  | 1.0| 2.0| 2.0| 1.0| 1.5| 0.5| |M1.5V
J06323-097   |               |                |  | 4.0|  | 4.5| 4.0| 4.0| 4.5| 4.5| 4.5| |M4.5V
J06325+641   |M4.0V          |Giz97           |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.5| 4.0| |M4.0V
J06332+054   |M1.0V          |New14           |  | 2.0|  | 2.0| 2.0| 2.0| 2.0| 2.0| 2.0| |M2.0V
J06354-040AB |               |                |  | 5.5|  | 5.5| 5.5| 5.0| 5.5| 5.0| 5.0| |M5.5V
J06361+201   |M2.5V          |Reid04          |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J06367+378   |               |                |  | 3.5|  | 3.5| 4.0| 3.5| 4.0| 4.0| 3.5| |M3.5V
J06401-164   |               |                |  | 2.5|  | 2.5| 3.0| 3.0| 2.0| 2.5| 2.0| |M2.5V
J06435+166   |M4.5V          |Reid04          |  | 4.0|  | 4.5| 4.0| 4.5| 4.5| 4.5| 4.5| |M4.5V
J06461+325   |M0.5V          |PMSU            |  | 1.0|  | 1.0| 1.0| 1.0| 1.0| 0.5| 1.5| |M1.0V
J06474+054   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J06489+211   |               |                |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 3.0| 2.5| |M2.5V
J06509-091   |k:             |Simbad          |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.0| 3.5| |M3.5V
J06522+627   |               |                |  | 3.5|  | 4.0| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J06522+179   |m:             |Simbad          |  | 0.0|  | 0.0|-0.5|-0.5| 0.0| 0.0| 0.0| |M0.0V
J06523-051SAB|M2.0V          |PMSU            |  | 2.0|  | 2.0| 2.0| 2.0| 2.0| 2.0| 2.5| |M2.0V
J06523-051N  |K3V            |Simbad          |  |-4.0|< |-3.0|    |    |    |    |    |<|K5V
J06548+332   |M3.0 V         |PMSU            |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J06565+440   |m:             |Simbad          |  | 4.5|  | 4.5| 4.0| 4.0| 4.5| 4.5| 4.5| |M4.5V
J07001-190   |               |                |  | 5.0|  | 5.0| 5.0| 4.5| 5.0| 5.0| 4.5| |M5.0V
J07009-023   |               |                |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J07031+836   |               |                |  | 3.0|  | 3.5| 3.5| 3.5| 3.5| 3.0| 3.0| |M3.5V
J07051-101   |               |                |  | 5.0|  | 5.0| 5.0| 4.5| 4.5| 4.5| 4.5| |M5.0V
J07105-087   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J07105+283   |K7V            |Ste86           |  | 0.0|  | 0.0| 0.0| 0.0| 0.0| 0.0| 0.0| |M0.0V
J07111-035   |               |                |  | 1.0|  | 0.5| 0.0| 0.0| 1.0| 0.5| 1.0| |M0.5V
J07111+434AB |M6.0V+M7.5     |,Sch05, Mon06   |  | 5.5|  | 5.5| 6.0| 6.5| 6.0| 5.5| 6.0| |M5.5V
J07172-050   |M4.0V          |Riaz06          |  | 3.5|  | 3.5| 4.0| 4.0| 3.5| 4.0| 3.0| |M3.5V
J07182+137   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 4.0| 3.5| 3.5| |M3.5V
J07191+667   |               |                |  | 0.0|  | 0.0| 0.0|-0.5| 0.0| 0.0| 0.0| |M0.0V
J07195+328   |K7V            |PMSU            |  | 0.0|  | 0.0| 0.0| 0.0| 0.0| 0.0| 0.0| |M0.0V
J07219-222   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 4.0| 3.5| 3.5| |M3.5V
J07274+052   |M3.5V          |PMSU            |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 4.0| 3.5| |M3.5V
J07310+460   |M4.0V          |Riaz06          |  | 4.0|  | 4.0| 4.5| 4.0| 4.0| 4.5| 4.0| |M4.0V
J07319+362N  |M3.5V          |PMSU            |  | 4.0|  | 3.5| 3.5| 3.5| 4.0| 4.0| 3.5| |M3.5V
J07319+362SAB|M2.5V          |PMSU            |  | 2.5|  | 2.5| 3.0| 3.0| 2.5| 3.0| 2.5| |M2.5V
J07321-088   |               |                |  |-2.0|  |-2.0|    |    |    |    |    | |K5V
J07324-130   |               |                |  | 0.0|  | 0.0| 0.0| 0.0|-0.5| 0.0|-0.5| |M0.0V
J07359+785   |M3.5V          |Reid04          |  | 3.0|  | 3.0| 3.5| 3.5| 3.0| 3.5| 3.0| |M3.0V
J07361-031   |m:             |Simbad          |  | 1.0|  | 1.0| 1.0| 0.5| 1.0| 1.0| 1.0| |M1.0V
J07365-006   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J07366+440   |               |                |  | 3.5|  | 3.0| 3.0| 3.0| 3.5| 3.5| 3.5| |M3.5V
J07420+142   |M3S            |,KMc89, SB06    |  |    |  |    |    |    |    |    |    | |MIII
J07429-107   |               |                |  | 2.5|  | 2.5| 3.0| 2.5| 2.5| 3.0| 2.5| |M2.5V
J07467+574   |               |                |  | 5.0|  | 5.0| 4.5| 4.5| 4.5| 5.0| 4.5| |M4.5V
J07470+760   |M4.0V          |Reid04          |  | 4.0|  | 4.0| 3.5| 3.5| 4.0| 4.0| 4.0| |M4.0V
J07497-033   |M4.0V          |Reid07          |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.0| |M3.5V
J07498-032   |               |                |  | 3.5|  | 3.5| 4.0| 4.0| 3.0| 4.0| 3.0| |M3.5V
J07523+162   |M7.0V          |Reid03          |  | 6.0|  | 6.0| 6.0| 5.5| 6.0| 6.0| 5.5| |M6.0V
J07545-096   |               |                |  | 3.5|  | 3.0| 3.5| 3.0| 3.5| 3.5| 3.5| |M3.5V
J07545+085   |               |                |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 3.0| |M2.5V
J07558+833   |M3.5V          |PMSU            |  | 5.0|  | 5.0| 4.0| 3.5| 5.5| 4.5| 5.0| |M4.5:V
J07591+173   |               |                |  | 3.5|  | 4.0| 4.0| 4.0| 3.5| 4.0| 3.0| |M4.0V
J08025-130   |               |                |  | 2.5|  | 2.5| 3.0| 2.5| 3.0| 3.0| 3.0| |M2.5V
J08031+203AB |M3.3V          |Riaz06          |  | 3.5|  | 3.5| 4.0| 3.5| 3.5| 3.5| 3.0| |M3.5V
J08069+422   |M4.5V          |Reid04          |  | 4.0|  | 4.5| 4.0| 4.0| 4.5| 4.5| 4.0| |M4.0V
J08082+211N  |K5V            |PMSU            |  |-1.0|  |-1.0|-1.0|-1.0|-0.5|-0.5|-0.5| |K7V
J08082+211SAB|M2.5V+M3.1     |,PMSU, Shk10    |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J08104-111   |               |                |  | 0.5|  | 1.0| 2.0| 2.0| 0.5| 1.5| 0.0| |M1.0V
J08105-138AB |M2.0V          |PMSU            |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.0| 2.5| |M2.5V
J08117+531   |               |                |  | 2.5|  | 2.5| 3.0| 3.0| 2.5| 3.0| 2.5| |M2.5V
J08143+630   |               |                |  | 1.5|  | 1.5| 1.5| 1.5| 1.5| 1.0| 1.5| |M1.5V
J08161+013   |M2.0V          |PMSU            |  | 2.0|  | 2.0| 2.0| 2.0| 2.0| 2.0| 2.0| |M2.0V
J08283+553   |               |                |  | 2.5|  | 2.5| 3.0| 3.0| 3.0| 3.0| 2.5| |M2.5V
J08286+660   |M0Ve           |App98           |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 3.5| |M4.0V
J08298+267   |M6.0V          |PMSU            |  | 6.5|  | 6.5| 6.5| 6.0| 6.0| 6.5| 7.0| |M6.5V
J08353+141   |M4.5V          |Reid07          |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.0| |M4.5V
J08375+035   |               |                |  | 4.0|  | 4.5| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J08386-028   |               |                |  |-2.0|  |-2.0|    |    |    |    |    | |K5V
J08394-028   |               |                |  | 0.5|  | 0.5| 1.0| 1.0| 0.5| 1.0| 0.5| |M0.5V
J08423-048   |M2.5V          |Sch05           |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J08449-066AB |M3.0V          |Reid07          |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J08526+283   |M4.0V          |PMSU            |  | 4.5|  | 4.5| 4.0| 4.0| 4.5| 4.5| 4.5| |M4.5V
J08531-202   |               |                |  | 3.0|  | 3.0| 3.0| 3.0| 3.0| 3.0| 3.0| |M3.0V
J08563-044   |k:             |Simbad          |  | 1.0|  | 1.0| 1.0| 1.0| 1.0| 1.0| 1.5| |M1.0V
J08572+194   |M4.0V          |Sch05           |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J08590+364   |k:             |Simbad          |  | 0.5|  | 0.5| 0.5| 0.5| 0.5| 0.5| 0.5| |M0.5V
J08595+537   |               |                |  | 3.5|  | 4.0| 4.0| 3.5| 3.5| 4.0| 3.5| |M3.5V
J08599+042   |               |                |  | 1.0|  | 1.0| 0.5| 1.0| 1.0| 0.5| 1.0| |M1.0V
J09003+218   |M6.5V          |Reid03          |  | 6.5|  | 6.5| 6.5| 6.0| 6.5| 6.0| 6.5| |M6.5V
J09008+237   |               |                |  | 2.5|  | 2.5| 3.0| 3.0| 3.0| 3.0| 2.5| |M2.5V
J09023+177   |M3.5V          |Reid07          |  | 4.0|  | 3.5| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J09028+060   |               |                |  | 1.5|  | 1.5| 1.5| 1.5| 1.5| 1.0| 1.5| |M1.5V
J09040-159   |M2.5V          |Riaz06          |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J09045+164AB |K5V            |Simbad          |  |-4.0|< |-3.0|    |    |    |    |    |<|K5V
J09058+555   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.0| |M3.5V
J09091+227   |M3.0V          |Abe14           |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J09115+126   |               |                |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J09143+526   |K7V            |Kir91           |  | 0.0|  | 0.0|-0.5|-0.5| 0.0| 0.0| 0.0| |M0.0V
J09144+526   |M0V            |Kir91           |  | 0.0|  | 0.0|-0.5|-0.5| 0.0| 0.0| 0.0| |M0.0V
J09151+233   |               |                |  | 0.0|  | 0.0| 0.0| 0.0| 0.0| 0.0| 0.0| |M0.0V
J09156-105AB |M5V+M5         |,Sch05, Mon06   |  | 5.0|  | 5.0| 5.0| 5.0| 5.0| 5.0| 5.0| |M5.0V
J09201+037   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J09206-169   |               |                |  | 0.0|  | 0.0|-0.5|-0.5|-0.5| 0.0| 0.0| |M0.0V
J09212+603   |               |                |  | 1.5|  | 1.5| 1.5| 1.5| 1.5| 1.5| 1.5| |M1.5V
J09218-023   |               |                |  | 2.5|  | 2.0| 2.5| 2.5| 2.0| 2.0| 2.5| |M2.5V
J09243+063   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 3.5| |M4.0V
J09248+306   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J09256+634   |               |                |  | 4.0|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J09301-009   |k:             |Simbad          |  | 0.0|  | 0.5| 0.5| 0.5| 0.0| 0.5| 0.5| |M0.5V
J09308+024   |               |                |  | 4.0|  | 4.0| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J09328+269   |M5.5V          |PMSU            |  | 5.5|  | 5.5| 5.5| 5.5| 5.5| 5.5| 5.5| |M5.5V
J09351-103   |m:             |Simbad          |  |-2.0|  |-2.0|    |    |    |    |    | |K5V
J09362+375   |M0.5V          |Lep13           |  | 0.0|  | 0.0| 0.5| 0.0| 0.0| 0.0| 0.0| |M0.0V
J09394+146   |               |                |  | 3.5|  | 3.5| 3.5| 3.0| 3.0| 3.5| 3.5| |M3.5V
J09449-123   |M5.0V          |Sch05           |  | 5.0|  | 5.0| 5.5| 5.0| 5.0| 5.0| 4.5| |M5.0V
J09488+156   |M2.0V          |Shk09           |  | 3.0|  | 3.0| 3.0| 3.0| 2.5| 3.0| 3.0| |M3.0V
J09526-156   |M4.0V          |Sch05           |  | 3.5|  | 3.0| 3.5| 3.5| 3.0| 3.5| 3.0| |M3.5V
J09538-073   |M1Ve           |Ste86           |  | 0.5|  | 1.0|-0.5| 0.0| 0.5| 0.5| 0.0| |M0.5V
J09589+059   |m4.5:          |Law08           |  | 4.5|  | 5.0| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J09597+721   |               |                |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 3.5| 3.5| |M3.5V
J10008+319   |M6.5V          |Giz00           |  | 6.0|  | 6.0| 6.0| 6.0| 6.0| 6.0| 6.0| |M6.0V
J10020+697   |M4.5V          |Reid04          |  | 4.0|  | 4.5| 4.0| 4.0| 4.0| 4.5| 4.0| |M4.0V
J10028+484   |M5.0V          |Boc05           |  | 5.5|  | 5.5| 5.5| 5.5| 5.5| 5.5| 5.5| |M5.5V
J10063-064   |               |                |  | 4.0|  | 4.5| 4.5| 4.5| 5.0| 4.0| 4.5| |M4.5V
J10068-127   |M4.5V          |Reid07          |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J10098-007   |K4V            |Ste86           |  |-2.0|  |-2.0|    |    |    |    |    | |K5V
J10120-026AB |M2.5V          |PMSU            |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J10130+233   |M4.0V          |Sch05           |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 4.0| 3.5| |M3.5V
J10148+213   |M4.5V          |Sch05           |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J10155-164   |               |                |  | 4.0|  | 3.5| 4.0| 4.0| 4.0| 4.0| 3.5| |M4.0V
J10196+198AB |M3.0V          |PMSU            |  | 3.0|  | 3.0| 3.5| 3.0| 3.0| 3.0| 3.0| |M3.0V
J10200+289   |M3.0V          |Sch05           |  | 3.0|  | 2.5| 3.0| 3.0| 2.5| 3.0| 3.0| |M3.0V
J10238+438   |M4.5V          |Reid04          |  | 5.0|  | 5.0| 5.0| 5.0| 5.0| 5.0| 5.0| |M5.0V
J10240+366   |M3.0V          |Reid07          |  | 3.5|  | 3.5| 3.5| 3.5| 3.5| 4.0| 3.5| |M3.5V
J10278+028   |k:             |Simbad          |  | 3.5|  | 3.5| 3.5| 3.5| 4.0| 3.5| 3.5| |M3.5V
J10304+559   |K7V            |Simbad          |  |-1.0|  |-1.0|-1.5|-1.5|-1.0|-0.5|-1.0| |K7V
J10359+288   |M2.5V          |Reid07          |  | 3.0|  | 3.0| 3.5| 3.0| 3.0| 3.5| 3.0| |M3.0V
J10368+509   |M3.5V          |Reid04          |  | 4.5|  | 4.5| 4.5| 4.5| 4.5| 4.5| 4.5| |M4.5V
J10430-092AB |M5-6V          |Gig98           |  | 5.5|  | 5.5| 5.0| 5.5| 5.5| 5.0| 5.5| |M5.5V
J10443+124   |M4.0V          |Sch05           |  | 3.5|  | 3.5| 3.5| 3.5| 4.0| 4.0| 3.5| |M3.5V
J10482-113   |M6.5V          |PMSU            |  | 6.5|  | 6.5| 7.0| 7.0| 6.5| 7.0| 7.0| |M6.5V
J10508+068   |M4.0V          |PMSU            |  | 4.0|  | 4.5| 4.0| 4.0| 4.0| 4.0| 4.0| |M4.0V
J10546-073   |M4.0V          |Sch05           |  | 4.0|  | 4.0| 3.5| 4.0| 4.0| 4.0| 4.0| |M4.0V
J10560+061   |M5.5III        |,KMc89, Gar89   |  |    |  |    |    |    |    |    |    | |MIII
J10563+042   |               |                |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 2.5| 2.5| |M2.5V
J10564+070   |M5.5V          |PMSU            |  | 6.0|  | 6.0| 6.0| 6.0| 6.0| 6.0| 6.0| |M6.0V
J10584-107   |M5.0V          |Sch05           |  | 5.0|  | 5.0| 5.0| 4.5| 4.5| 5.0| 4.5| |M5.0V
J11018-024   |M0III          |,Gar89, SB06    |  |    |  |    |    |    |    |    |    | |MIII
J11030+037   |               |                |  | 2.5|  | 2.5| 2.5| 2.5| 2.5| 3.0| 3.0| |M2.5V
J11033+359   |M2.0V          |PMSU            |  | 1.5|  | 1.5| 1.5| 2.0| 2.0| 1.5| 2.0| |M1.5V
