#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-05-20T14:28:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ537b66326c15	
#INFO	-out.max=1000	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=1000
#-order=I
#-nav=cat:J/MNRAS/389/585&tab:{J/MNRAS/389/585/table1}&key:source=J/MNRAS/389/585&HTTPPRM:&&-ref=VIZ537b66326c15&-out.max=1000&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/MNRAS/389/585/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Name&-out=Teff&-out=theta&-out=mBol&-out=Vmag&-out=B-V&-out=U-B&-out=V-Rc&-out=V-Ic&-out=Jmag&-out=Hmag&-out=Ksmag&-out=[M/H]&-out=Simbad&-out=_RA&-out=_DE&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-order=I
#-out.src=J/MNRAS/389/585/table1
#-source=J/MNRAS/389/585/table1
#-order=I
#-out=Name
#-out=Teff
#-out=theta
#-out=mBol
#-out=Vmag
#-out=B-V
#-out=U-B
#-out=V-Rc
#-out=V-Ic
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=[M/H]
#-out=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_73890585
#Name: J/MNRAS/389/585
#Title: Fundamental parameters of M dwarfs (Casagrande+, 2008)
#Table	J_MNRAS_389_585_table1:
#Name: J/MNRAS/389/585/table1
#Title: Observable and physical quantities for our sample stars
#Column	Name	(a14)	Star name	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	theta	(F6.3)	Angular diameter	[ucd=phys.angSize]
#Column	mBol	(F6.3)	Apparent bolometric magnitude (1)	[ucd=phot.mag.bol]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	V-Rc	(F6.3)	Johnson-Cousins V-Rc colour index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-Ic	(F6.3)	Johnson-Cousins V-Ic colour index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	Jmag	(F6.3)	2MASS Johnson J magnitude	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS Johnson H magnitude	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F6.3)	2MASS Johnson Ks magnitude	[ucd=phot.mag;em.IR.K]
#Column	[M/H]	(F5.2)	? Metallicity (2)	[ucd=phys.abund.Z]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name;Teff;theta;mBol;Vmag;B-V;U-B;V-Rc;V-Ic;Jmag;Hmag;Ksmag;[M/H];Simbad;_RA;_DE
NLTT 15171    ;3270; 0.245;10.115;12.010; 1.540;      ; 1.070; 2.410; 8.276; 7.687; 7.437;-0.20;Simbad;082.46675;-03.44167
LP 993-116    ;2958; 0.311;10.029;12.670; 1.670;      ; 1.280; 2.990; 8.059; 7.525; 7.196;     ;Simbad;041.30958;-43.73611
LP 854-3      ;3306; 0.182;10.711;12.540; 1.540;      ; 1.070; 2.380; 8.873; 8.325; 8.053;-0.40;Simbad;194.05558;-22.08292
NLTT 38355    ;3525; 0.169;10.588;12.080; 1.520;      ; 0.980; 2.080; 8.837; 8.219; 8.001;-0.30;Simbad;221.76871;-12.74075
LP 892-26     ;3390; 0.201;10.385;12.090; 1.490;      ; 1.020; 2.270; 8.592; 7.990; 7.733;-0.20;Simbad;078.94467;-31.29592
NLTT 30217    ;3607; 0.162;10.589;11.980; 1.480;      ; 0.950; 1.990; 8.864; 8.234; 8.033;-0.21;Simbad;184.27810;-17.63745
LP 853-34     ;3339; 0.196;10.510;12.290; 1.520;      ; 1.040; 2.300; 8.688; 8.097; 7.835;-0.01;Simbad;191.79175;-22.37694
LP 717-36     ;3122; 0.241;10.352;12.560; 1.540;      ; 1.160; 2.650; 8.454; 7.882; 7.623;-0.20;Simbad;081.42362;-09.15347
NLTT 40676    ;3061; 0.250;10.357;12.720; 1.580;      ; 1.190; 2.760; 8.432; 7.871; 7.572;     ;Simbad;234.24429;-14.13381
LP 745-8      ;3293; 0.161;10.993;12.870; 1.450;      ; 1.050; 2.370; 9.194; 8.508; 8.295; 0.08;Simbad;246.25617;-12.25717
LP 742-61     ;3035; 0.248;10.413;12.840; 1.530;      ; 1.190; 2.770; 8.507; 7.862; 7.582;     ;Simbad;229.79892;-12.75197
LP 725-25     ;3476; 0.215;10.126;11.800; 1.480;      ; 1.000; 2.210; 8.364; 7.684; 7.441; 0.28;Simbad;129.72692;-09.56622
NLTT 400      ;3418; 0.199;10.367;12.030; 1.510;      ; 1.020; 2.230; 8.584; 7.977; 7.725;-0.10;Simbad;002.30638;-04.13401
NLTT 891      ;3306; 0.157;11.028;12.886; 1.457;      ; 1.049; 2.390; 9.237; 8.567; 8.356; 0.07;Simbad;004.41950;-01.37792
NLTT 1262     ;3410; 0.180;10.601;12.245; 1.497;      ; 1.011; 2.227; 8.825; 8.213; 7.979;-0.40;Simbad;006.10508;-12.29014
NLTT 1859     ;3472; 0.195;10.344;11.952; 1.496;      ; 0.999; 2.167; 8.574; 7.951; 7.692; 0.09;Simbad;008.66242;-02.41669
NLTT 1928     ;3383; 0.227;10.127;11.831; 1.523;      ; 1.025; 2.263; 8.327; 7.736; 7.483;-0.20;Simbad;008.90862;-10.07181
NLTT 3720     ;4197; 0.129;10.416;11.185; 1.228;      ; 0.765; 1.424; 8.856; 8.265; 8.116;-0.55;Simbad;016.84806;-17.62809
NLTT 3898     ;3112; 0.230;10.460;12.663; 1.544;      ; 1.143; 2.632; 8.625; 7.928; 7.656; 0.10;Simbad;017.57296;-11.85483
NLTT 4361     ;3932; 0.210; 9.642;10.689; 1.395;      ; 0.868; 1.679; 8.012; 7.369; 7.190;-0.10;Simbad;019.66762;-00.87442
NLTT 6188     ;3887; 0.167;10.190;11.329; 1.438;      ; 0.896; 1.775; 8.560; 7.874; 7.690; 0.08;Simbad;027.73539;-09.61759
NLTT 6330     ;3503; 0.244; 9.820;11.420; 1.490;      ; 1.000; 2.160; 8.066; 7.418; 7.141; 0.17;Simbad;028.29731;-21.09535
NLTT 6872     ;3346; 0.322; 9.418;11.160; 1.450;      ; 1.020; 2.310; 7.609; 7.031; 6.771;-0.40;Simbad;030.83641;-21.22869
NLTT 10442    ;3421; 0.315; 9.367;11.020; 1.470;      ; 1.000; 2.220; 7.608; 6.954; 6.691;-0.03;Simbad;049.19930;-21.42391
NLTT 13104    ;4043; 0.212; 9.501;10.440; 1.350;      ; 0.830; 1.570; 7.894; 7.244; 7.111;-0.10;Simbad;065.38147;-19.75646
NLTT 15750    ;4071; 0.189; 9.722;10.560; 1.240;      ; 0.790; 1.470; 8.131; 7.544; 7.356;-0.47;Simbad;088.13290;-22.77699
NLTT 16823    ;3062; 0.243;10.417;12.780; 1.660;      ; 1.200; 2.770; 8.507; 7.912; 7.650;     ;Simbad;099.90587;-21.02589
NLTT 16836    ;3226; 0.171;10.949;12.940; 1.580;      ; 1.110; 2.510; 9.121; 8.505; 8.218;-0.11;Simbad;100.03592;-16.45731
NLTT 17454    ;3470; 0.244; 9.865;11.420; 1.550;      ; 1.000; 2.150; 8.094; 7.512; 7.268;-0.40;Simbad;107.02920;-22.81316
NLTT 18210    ;3288; 0.255; 9.997;11.870; 1.560;      ; 1.070; 2.390; 8.181; 7.562; 7.298; 0.09;Simbad;114.54037;-31.20531
NLTT 18446    ;4145; 0.161; 9.992;10.910; 1.330;      ; 0.830; 1.570; 8.410; 7.725; 7.598; 0.15;Simbad;116.85664;-08.98807
NLTT 18711    ;4319; 0.173; 9.653;10.340; 1.190;      ; 0.730; 1.350; 8.102; 7.557; 7.398;-0.47;Simbad;119.32837;-30.14717
NLTT 18720    ;3797; 0.136;10.739;11.940; 1.400;      ; 0.900; 1.850; 9.106; 8.417; 8.228;-0.05;Simbad;119.48737;-16.56125
NLTT 19159    ;3357; 0.162;10.896;12.670; 1.500;      ; 1.030; 2.310; 9.110; 8.457; 8.207; 0.09;Simbad;123.36929;-32.45847
NLTT 19190    ;3456; 0.244; 9.881;11.550; 1.440;      ; 1.000; 2.210; 8.107; 7.467; 7.202; 0.27;Simbad;123.59400;-25.70532
NLTT 19897    ;3802; 0.143;10.624;11.780; 1.430;      ; 0.900; 1.790; 8.967; 8.336; 8.155;-0.40;Simbad;128.94775;-56.75364
NLTT 21675    ;3953; 0.160;10.209;11.220; 1.330;      ; 0.850; 1.660; 8.603; 7.952; 7.756;-0.11;Simbad;141.05913;-09.80611
NLTT 22765    ;3650; 0.378; 8.695;10.010; 1.460;      ; 0.940; 1.950; 6.988; 6.400; 6.150;-0.40;Simbad;147.79017;-12.32986
NLTT 24892    ;3244; 0.203;10.559;12.507; 1.558;      ; 1.087; 2.458; 8.730; 8.118; 7.840;     ;Simbad;159.48030;+12.77693
NLTT 26385    ;3244; 0.197;10.621;12.566; 1.509;      ; 1.075; 2.428; 8.797; 8.137; 7.933;-0.02;Simbad;167.02725;-05.22977
NLTT 26770    ;4008; 0.273; 8.996; 9.950; 1.350;      ; 0.840; 1.590; 7.380; 6.760; 6.603;-0.20;Simbad;168.83704;-18.14504
NLTT 34577    ;3254; 0.210;10.470;12.399; 1.512;      ; 1.064; 2.410; 8.638; 7.999; 7.796; 0.08;Simbad;203.96145;+14.68662
NLTT 42444    ;3948; 0.183; 9.932;10.930; 1.370;      ; 0.850; 1.630; 8.308; 7.685; 7.501;-0.21;Simbad;244.96405;-58.27560
NLTT 42523    ;3444; 0.194;10.387;11.960; 1.430;      ; 0.980; 2.150; 8.605; 8.013; 7.799;-0.50;Simbad;245.15671;-30.66128
NLTT 44314    ;3202; 0.144;11.363;13.400; 1.580;      ; 1.110; 2.540; 9.511; 8.913; 8.656;-0.20;Simbad;258.00500;-27.76722
NLTT 46445    ;3537; 0.120;11.326;12.790; 1.530;      ; 0.980; 2.070; 9.587; 8.966; 8.770;-0.40;Simbad;276.39217;-18.04606
NLTT 46868    ;3221; 0.250;10.131;12.110; 1.650;      ; 1.110; 2.500; 8.261; 7.729; 7.436;-0.40;Simbad;280.54621;-23.48300
NLTT 48106    ;2980; 0.232;10.631;13.210; 1.671;      ; 1.258; 2.905; 8.692; 8.079; 7.816;     ;Simbad;295.50275;-21.06822
NLTT 48147    ;3352; 0.253; 9.930;11.667; 1.526;      ; 1.038; 2.295; 8.121; 7.533; 7.291;-0.40;Simbad;295.96579;-32.40111
NLTT 49071    ;3468; 0.160;10.788;12.329; 1.528;      ; 0.994; 2.132; 9.009; 8.439; 8.208;-0.50;Simbad;305.02967;-19.65086
NLTT 49465    ;3248; 0.238;10.205;12.150; 1.520;      ; 1.080; 2.430; 8.368; 7.739; 7.505;-0.11;Simbad;308.62975;-32.51664
NLTT 54872    ;2980; 0.306;10.033;12.618; 1.683;      ; 1.273; 2.944; 8.075; 7.527; 7.206;     ;Simbad;342.01875;-24.36883
NLTT 54894    ;3119; 0.251;10.265;12.335; 1.560;      ; 1.111; 2.531; 8.410; 7.819; 7.487;-0.02;Simbad;342.16004;-31.14483
NLTT 58380    ;3318; 0.211;10.376;12.189; 1.450;      ; 1.038; 2.345; 8.552; 7.972; 7.690;-0.01;Simbad;358.70933;-09.95039
NLTT 58589    ;3316; 0.236;10.130;11.960; 1.489;      ; 1.046; 2.337; 8.311; 7.699; 7.435; 0.10;Simbad;359.55700;-17.40939
LP 734-32     ;3024; 0.348; 9.687;12.120;      ;      ; 1.190; 2.770; 7.768; 7.137; 6.863;     ;Simbad;182.52321;-15.07139
LP 735-48     ;3188; 0.204;10.622;12.590;      ;      ; 1.100; 2.510; 8.873; 8.117; 7.872; 0.01;Simbad;186.68379;-12.48825
LP 615-149    ;3100; 0.215;10.629;12.820;      ;      ; 1.130; 2.610; 8.763; 8.123; 7.852; 0.06;Simbad;186.93625;-03.25019
LP 709-43     ;3110; 0.194;10.833;13.050;      ;      ; 1.140; 2.650; 8.946; 8.337; 8.083;-0.20;Simbad;032.51525;-08.88314
LP 656-9      ;3522; 0.182;10.433;11.910;      ;      ; 0.980; 2.070; 8.676; 8.088; 7.861;-0.40;Simbad;071.60183;-02.81886
LP 715-39     ;3161; 0.214;10.554;12.650;      ;      ; 1.120; 2.560; 8.672; 8.106; 7.824;-0.10;Simbad;069.65483;-11.50408
LP 798-44     ;3225; 0.189;10.731;12.730;      ;      ; 1.100; 2.500; 8.871; 8.278; 8.061;-0.40;Simbad;207.68333;-21.69078
LP 831-45     ;3125; 0.239;10.365;12.540;      ;      ; 1.140; 2.630; 8.492; 7.876; 7.625;-0.20;Simbad;048.57567;-23.15822
LP 617-4      ;3217; 0.186;10.778;12.770;      ;      ; 1.100; 2.490; 8.920; 8.335; 8.081;-0.30;Simbad;197.21346;-01.51872
LP 734-30     ;3277; 0.181;10.765;12.650;      ;      ; 1.050; 2.380; 8.957; 8.296; 8.041; 0.19;Simbad;182.19612;-10.26675
LP 616-13     ;3219; 0.201;10.609;12.600;      ;      ; 1.100; 2.490; 8.767; 8.156; 7.886;-0.21;Simbad;191.79083;-03.57153
NLTT 20081    ;3227; 0.174;10.910;12.860;      ;      ; 1.100; 2.490; 9.047; 8.544; 8.186;-0.17;Simbad;130.59667;-04.89861
LP 671-8      ;3025; 0.209;10.794;13.240;      ;      ; 1.210; 2.800; 8.877; 8.254; 7.970;     ;Simbad;163.67492;-07.30914
LP 728-70     ;3108; 0.231;10.458;12.680;      ;      ; 1.160; 2.670; 8.579; 7.972; 7.717;-0.10;Simbad;147.66896;-13.81069
LP 913-13     ;3280; 0.163;10.989;12.850;      ;      ; 1.060; 2.380; 9.140; 8.582; 8.313;-0.20;Simbad;215.45400;-31.90967
LP 861-12     ;3194; 0.160;11.137;13.190;      ;      ; 1.100; 2.550; 9.275; 8.690; 8.414;-0.20;Simbad;240.59821;-25.09928
LP 795-38     ;3042; 0.199;10.880;13.280;      ;      ; 1.180; 2.740; 8.972; 8.322; 8.085;     ;Simbad;189.33979;-20.87656
LP 896-12     ;3497; 0.132;11.169;12.730;      ;      ; 1.000; 2.170; 9.439; 8.782; 8.553;-0.20;Simbad;104.70321;-28.63172
LP 652-74     ;3135; 0.162;11.194;13.380;      ;      ; 1.170; 2.670; 9.327; 8.722; 8.459;-0.30;Simbad;047.90283;-04.27692
LP 892-51     ;3147; 0.182;10.928;13.070;      ;      ; 1.150; 2.630; 9.046; 8.489; 8.190;-0.30;Simbad;082.76800;-30.19575
LP 653-8      ;3105; 0.204;10.730;13.010;      ;      ; 1.180; 2.720; 8.829; 8.269; 7.928;-0.16;Simbad;053.66512;-04.84258
LP 798-41     ;3118; 0.153;11.346;13.560;      ;      ; 1.160; 2.670; 9.458; 8.856; 8.626;-0.40;Simbad;207.59908;-21.62217
LP 728-5      ;3362; 0.144;11.145;12.880;      ;      ; 1.040; 2.300; 9.345; 8.746; 8.508;-0.40;Simbad;143.48496;-10.15675
LP 792-20     ;3194; 0.168;11.032;13.080;      ;      ; 1.120; 2.550; 9.172; 8.588; 8.322;-0.30;Simbad;170.98875;-18.36356
NLTT 31385    ;3075; 0.165;11.242;13.560;      ;      ; 1.190; 2.740; 9.329; 8.760; 8.455;     ;Simbad;189.69700;-04.32142
LP 887-74     ;3031; 0.146;11.572;14.000;      ;      ; 1.220; 2.820; 9.649; 9.062; 8.778;     ;Simbad;049.87162;-30.99550
LP 916-45     ;3055; 0.154;11.413;13.780;      ;      ; 1.180; 2.760; 9.486; 8.916; 8.654;     ;Simbad;238.90371;-32.00005
LP 186-166    ;3572; 0.133;11.062;12.490;      ;      ; 0.980; 2.050; 9.342; 8.724; 8.535;-0.80;Simbad;130.45792;-59.56917
LP 728-71     ;3122; 0.162;11.216;13.430;      ;      ; 1.160; 2.660; 9.320; 8.726; 8.507;-0.40;Simbad;148.17400;-15.60386
NLTT 38107    ;3183; 0.156;11.205;13.290;      ;      ; 1.120; 2.580; 9.346; 8.732; 8.507;-0.40;Simbad;220.49621;-16.88703
LP 889-37     ;2913; 0.146;11.738;14.520;      ;      ; 1.310; 3.040; 9.775; 9.164; 8.823;     ;Simbad;062.23158;-31.48167
LP 655-43     ;2924; 0.148;11.694;14.440;      ;      ; 1.300; 3.030; 9.730; 9.136; 8.818;     ;Simbad;069.51050;-05.93714
NLTT 21329    ;2817; 0.259;10.636;13.760;      ;      ; 1.450; 3.340; 8.605; 8.074; 7.733;     ;Simbad;138.90167;-10.59644
NLTT 22503    ;2785; 0.279;10.529;13.730;      ;      ; 1.410; 3.340; 8.496; 7.919; 7.601;     ;Simbad;146.22579;-12.34847
LP 916-23     ;3180; 0.127;11.667;13.740;      ;      ; 1.120; 2.560; 9.807; 9.214; 8.941;-0.10;Simbad;236.02279;-32.08942
LP 942-107    ;3052; 0.145;11.552;13.930;      ;      ; 1.200; 2.810; 9.629; 9.081; 8.774;     ;Simbad;046.29696;-34.08997
LP 792-9      ;3149; 0.139;11.500;13.630;      ;      ; 1.140; 2.600; 9.643; 9.026; 8.763;-0.01;Simbad;168.81462;-18.12672
LP 739-3      ;3002; 0.158;11.442;13.960;      ;      ; 1.250; 2.880; 9.488; 8.934; 8.653;     ;Simbad;209.58162;-13.27364
LP 890-8      ;3305; 0.119;11.635;13.460;      ;      ; 1.060; 2.370; 9.794; 9.250; 8.978;-0.40;Simbad;063.98417;-28.28081
LP 848-54     ;3329; 0.117;11.641;13.440;      ;      ; 1.040; 2.330; 9.851; 9.189; 8.970; 0.09;Simbad;157.30258;-23.12136
LP 829-51     ;3040; 0.131;11.792;14.210;      ;      ; 1.230; 2.830; 9.863; 9.309; 9.005;     ;Simbad;035.85008;-23.30686
LP 739-32     ;3090; 0.118;11.946;14.260;      ;      ; 1.190; 2.740;10.057; 9.441; 9.177;-0.16;Simbad;213.17442;-13.67642
LP 657-4      ;3019; 0.128;11.870;14.350;      ;      ; 1.230; 2.850; 9.928; 9.369; 9.062;     ;Simbad;077.33762;-08.64878
LP 731-16     ;3112; 0.127;11.753;13.940;      ;      ; 1.140; 2.630; 9.867; 9.290; 8.990;     ;Simbad;163.25900;-15.08425
NLTT 25121    ;3082; 0.136;11.643;13.940;      ;      ; 1.180; 2.720; 9.725; 9.166; 8.884;     ;Simbad;160.65425;-03.91847
LP 890-46     ;3138; 0.139;11.525;13.700;      ;      ; 1.170; 2.650; 9.627; 9.081; 8.802;-0.40;Simbad;069.23429;-29.05772
LP 914-6      ;3167; 0.140;11.461;13.580;      ;      ; 1.140; 2.610; 9.571; 9.027; 8.753;-0.40;Simbad;220.09225;-27.87842
LP 735-29     ;2940; 0.160;11.496;14.180;      ;      ; 1.290; 3.000; 9.516; 8.969; 8.674;     ;Simbad;191.00304;-11.17506
LP 732-35     ;2901; 0.177;11.335;14.170;      ;      ; 1.340; 3.110; 9.359; 8.764; 8.497;     ;Simbad;172.78496;-14.95586
LP 896-28     ;3200; 0.113;11.879;13.910;      ;      ; 1.110; 2.530; 9.998; 9.455; 9.188;-0.40;Simbad;105.28462;-32.21047
LP 739-2      ;2939; 0.146;11.706;14.410;      ;      ; 1.300; 3.010; 9.728; 9.174; 8.887;     ;Simbad;209.56733;-12.04964
LP 890-27     ;2923; 0.180;11.269;14.020;      ;      ; 1.300; 3.050; 9.303; 8.718; 8.411;     ;Simbad;066.63604;-30.80050
LP 791-3      ;3016; 0.120;12.008;14.500;      ;      ; 1.270; 2.940;10.057; 9.553; 9.291;     ;Simbad;161.12167;-18.63531
NLTT 14416    ;3164; 0.107;12.062;14.160;      ;      ; 1.130; 2.570;10.175; 9.613; 9.354;-0.30;Simbad;075.71308;-04.68767
LP 916-21     ;3100; 0.111;12.055;14.250;      ;      ; 1.150; 2.630;10.203; 9.552; 9.256; 0.07;Simbad;235.93275;-33.50061
NLTT 214      ;3018; 0.113;12.149;14.622;      ;      ; 1.203; 2.782;10.219; 9.603; 9.298;     ;Simbad;001.55467;-02.53625
NLTT 820      ;3392; 0.130;11.327;13.010;      ;      ; 1.030; 2.290; 9.530; 8.989; 8.704;-0.70;Simbad;004.08375;-31.46092
NLTT 859      ;3313; 0.106;11.876;13.700;      ;      ; 1.060; 2.370;10.071; 9.442; 9.223;-0.30;Simbad;004.29906;+14.91444
NLTT 1089     ;3674; 0.118;11.192;12.551;      ;      ; 0.953; 1.982; 9.508; 8.839; 8.608;-0.03;Simbad;005.21054;-25.56839
NLTT 1117     ;3084; 0.137;11.635;13.939;      ;      ; 1.175; 2.703; 9.714; 9.149; 8.867;     ;Simbad;005.41421;-09.00681
NLTT 2000     ;3098; 0.089;12.541;14.704;      ;      ; 1.136; 2.591;10.644;10.078; 9.778;-0.13;Simbad;009.21658;-26.25933
NLTT 2031     ;3059; 0.120;11.959;14.320;      ;      ; 1.190; 2.740;10.029; 9.462; 9.180;     ;Simbad;009.39908;-27.14183
NLTT 2165     ;3218; 0.085;12.485;14.500;      ;      ; 1.140; 2.530;10.619;10.076; 9.778;-0.30;Simbad;009.98354;-30.54625
NLTT 3191     ;3251; 0.096;12.163;14.083;      ;      ; 1.086; 2.446;10.302; 9.764; 9.481;-0.40;Simbad;014.51092;-23.34517
NLTT 3362     ;3106; 0.170;11.131;13.385;      ;      ; 1.173; 2.713; 9.268; 8.627; 8.366;-0.20;Simbad;015.35267;-01.09961
NLTT 3660     ;3484; 0.115;11.476;13.070;      ;      ; 0.990; 2.150; 9.710; 9.064; 8.854; 0.09;Simbad;016.66324;+14.81271
NLTT 4635     ;2887; 0.076;13.182;16.080;      ;      ; 1.380; 3.200;11.166;10.681;10.312;     ;Simbad;020.88225;-23.76153
LP 939-44     ;2868; 0.103;12.567;15.490;      ;      ; 1.356; 3.146;10.555;10.009; 9.682;     ;Simbad;021.12762;-33.91719
NLTT 4966     ;3292; 0.098;12.076;13.930;      ;      ; 1.060; 2.370;10.277; 9.610; 9.392; 0.08;Simbad;022.41692;-26.50144
NLTT 5026     ;3016; 0.094;12.545;15.010;      ;      ; 1.200; 2.820;10.619;10.008; 9.741;     ;Simbad;022.67271;-28.20903
NLTT 5219     ;3108; 0.203;10.735;13.009;      ;      ; 1.175; 2.698; 8.842; 8.244; 7.972;-0.12;Simbad;023.49171;-17.63997
G272-57       ;3331; 0.097;12.036;13.810;      ;      ; 1.040; 2.330;10.201; 9.657; 9.416;-0.60;Simbad;024.46347;-14.72105
NLTT 5956     ;3164; 0.166;11.095;13.206;      ;      ; 1.136; 2.601; 9.206; 8.659; 8.386;-0.40;Simbad;026.78204;-14.41222
G272-118      ;2955; 0.140;11.759;14.420;      ;      ; 1.290; 2.980; 9.807; 9.220; 8.899;     ;Simbad;028.53316;-15.60608
NLTT 6395     ;3351; 0.094;12.077;13.805;      ;      ; 1.040; 2.297;10.255; 9.715; 9.434;-0.50;Simbad;028.58733;-15.73003
NLTT 8369     ;3335; 0.118;11.615;13.390;      ;      ; 1.040; 2.330; 9.814; 9.206; 8.937;-0.10;Simbad;038.57712;-05.38500
NLTT 8393     ;3349; 0.130;11.379;13.130;      ;      ; 1.040; 2.330; 9.546; 9.028; 8.778;-0.90;Simbad;038.71875;-07.28475
LHS 1427      ;2854; 0.099;12.667;15.630;      ;      ; 1.360; 3.190;10.639;10.115; 9.832;     ;Simbad;039.44230;-07.09667
NLTT 8612     ;2941; 0.154;11.580;14.260;      ;      ; 1.270; 2.970; 9.601; 9.042; 8.749;     ;Simbad;039.82350;-26.82189
NLTT 8646     ;3003; 0.072;13.129;15.650;      ;      ; 1.240; 2.860;11.188;10.599;10.310;     ;Simbad;040.07454;-05.29494
NLTT 9951     ;2848; 0.110;12.449;15.422;      ;      ; 1.372; 3.161;10.462; 9.829; 9.552;     ;Simbad;046.88375;-06.61311
NLTT 10419    ;3300; 0.105;11.907;13.730;      ;      ; 1.040; 2.350;10.094; 9.475; 9.223;-0.01;Simbad;049.08792;-03.74419
NLTT 10673    ;2918; 0.080;13.033;15.800;      ;      ; 1.320; 3.070;11.031;10.515;10.219;     ;Simbad;050.27323;-05.44293
NLTT 12279    ;2979; 0.141;11.717;14.280;      ;      ; 1.230; 2.860; 9.757; 9.177; 8.877;     ;Simbad;059.70460;+12.50652
NLTT 12800    ;2993; 0.144;11.646;14.210;      ;      ; 1.262; 2.927; 9.716; 9.114; 8.823;     ;Simbad;063.44112;-05.15142
LP 654-39     ;3020; 0.126;11.902;14.350;      ;      ; 1.200; 2.780; 9.968; 9.361; 9.101;     ;Simbad;064.77750;-07.46242
NLTT 13422    ;3001; 0.134;11.797;14.320;      ;      ; 1.250; 2.890; 9.853; 9.284; 8.990;     ;Simbad;067.71683;-08.82208
NLTT 14319    ;2920; 0.117;12.200;14.945;      ;      ; 1.291; 3.002;10.227; 9.627; 9.345;     ;Simbad;074.85167;-30.93272
NLTT 14728    ;3054; 0.113;12.091;14.451;      ;      ; 1.194; 2.764;10.163; 9.605; 9.316;     ;Simbad;078.44704;-31.32614
NLTT 14951    ;3097; 0.115;11.985;14.243;      ;      ; 1.145; 2.671;10.080; 9.494; 9.213;-0.20;Simbad;080.31617;-32.35750
NLTT 15530    ;2930; 0.100;12.529;15.245;      ;      ; 1.289; 3.005;10.568; 9.955; 9.717;     ;Simbad;085.76912;-26.59436
NLTT 15603    ;3019; 0.124;11.930;14.415;      ;      ; 1.252; 2.893; 9.996; 9.443; 9.133;     ;Simbad;086.45971;-27.16378
NLTT 16591    ;3032; 0.157;11.400;13.830;      ;      ; 1.200; 2.810; 9.468; 8.891; 8.622;     ;Simbad;097.45958;-02.79603
NLTT 16672    ;3067; 0.092;12.510;14.850;      ;      ; 1.180; 2.740;10.606; 9.997; 9.733;     ;Simbad;098.27908;-04.52172
NLTT 16808    ;3096; 0.084;12.669;14.930;      ;      ; 1.170; 2.690;10.756;10.189; 9.952;-0.30;Simbad;099.82679;-02.09625
NLTT 17194    ;3038; 0.146;11.562;13.970;      ;      ; 1.210; 2.800; 9.631; 9.069; 8.761;     ;Simbad;104.07896;-08.59622
NLTT 17222    ;3148; 0.082;12.653;14.810;      ;      ; 1.160; 2.640;10.787;10.187; 9.920;-0.20;Simbad;104.44150;-05.57825
NLTT 17389    ;3093; 0.115;12.001;14.280;      ;      ; 1.160; 2.690;10.099; 9.506; 9.239;-0.08;Simbad;106.22621;-28.02028
NLTT 18599    ;3210; 0.124;11.664;13.690;      ;      ; 1.110; 2.540; 9.777; 9.254; 8.989;-0.60;Simbad;118.40592;-18.96603
NLTT 18930    ;2903; 0.113;12.305;15.127;      ;      ; 1.322; 3.095;10.313; 9.761; 9.443;     ;Simbad;121.40392;-09.54389
NLTT 19341    ;3146; 0.120;11.838;13.930;      ;      ; 1.110; 2.550; 9.974; 9.375; 9.086; 0.07;Simbad;124.92692;-23.81242
NLTT 21151    ;3310; 0.144;11.207;13.022;      ;      ; 1.040; 2.332; 9.408; 8.735; 8.537;-0.24;Simbad;137.88310;+12.62327
NLTT 21226    ;3079; 0.126;11.816;14.148;      ;      ; 1.171; 2.716; 9.931; 9.279; 9.002;     ;Simbad;138.13425;-17.18958
